Symbol
AARTIIND
ABBOTINDI
ABCAPITAL
ABFRL
ACC
ADANIENT
ADANIPORT
ALKEM
AMARAJABA
AMBUJACEM
APOLLOHOS
APOLLOTYR
ASHOKLEY
ASIANPAIN
ASTRAL
ATUL
AUBANK
AUROPHARM
AXISBANK
BAJAJ-AUT
BAJAJFINS
BAJFINANC
BALKRISIN
BALRAMCHI
BANDHANBN
BANKBAROD
BANKNIFTY
BATAINDIA
BEL
BERGEPAIN
BHARATFOR
BHARTIART
BHEL
BIOCON
BOSCHLTD
BPCL
BRITANNIA
BSOFT
CANBK
CANFINHOM
CHAMBLFER
CHOLAFIN
CIPLA
COALINDIA
COFORGE
COLPAL
CONCOR
COROMANDE
CROMPTON
CUB
CUMMINSIN
DABUR
DALBHARAT
DEEPAKNTR
DELTACORP
DIVISLAB
DIXON
DLF
DRREDDY
EICHERMOT
ESCORTS
EXIDEIND
FEDERALBN
FSL
GAIL
GLENMARK
GMRINFRA
GNFC
GODREJCP
GODREJPRO
GRANULES
GRASIM
GSPL
GUJGASLTD
HAL
HAVELLS
HCLTECH
HDFC
HDFCAMC
HDFCBANK
HDFCLIFE
HEROMOTOC
HINDALCO
HINDCOPPE
HINDPETRO
HINDUNILV
HONAUT
IBULHSGFI
ICICIBANK
ICICIGI
ICICIPRUL
IDEA
IDFC
IDFCFIRST
IEX
IGL
INDHOTEL
INDIACEM
INDIAMART
INDIGO
INDUSINDB
INDUSTOWE
INFY
IOC
IPCALAB
IRCTC
ITC
JINDALSTE
JKCEMENT
JSWSTEEL
JUBLFOOD
KOTAKBANK
LALPATHLA
LAURUSLAB
LICHSGFIN
LT
LTFH
LTI
LTTS
LUPIN
MANAPPURA
MARICO
MARUTI
MCDOWELL-
MCX
METROPOLI
MFSL
MGL
MINDTREE
MM
MMFIN
MOTHERSON
MPHASIS
MRF
MUTHOOTFI
NAM-INDIA
NATIONALU
NAUKRI
NAVINFLUO
NESTLEIND
NIFTY50
NMDC
NTPC
OBEROIRLT
OFSS
ONGC
PAGEIND
PEL
PERSISTEN
PETRONET
PFC
PIDILITIN
PIIND
PNB
POLYCAB
POWERGRID
PVR
RAIN
RAMCOCEM
RBLBANK
RECLTD
RELIANCE
SAIL
SBICARD
SBILIFE
SBIN
SHREECEM
SIEMENS
SRF
SRTRANSFI
SUNPHARMA
SUNTV
SYNGENE
TATACHEM
TATACOMM
TATACONSU
TATAMOTOR
TATAPOWER
TATASTEEL
TCS
TECHM
TITAN
TORNTPHAR
TORNTPOWE
TRENT
TVSMOTOR
UBL
ULTRACEMC
UPL
VEDL
VOLTAS
WHIRLPOOL
WIPRO
ZEEL
ZYDUSLIFE
